id,month,rainfallavg,temperature_maxavg,temperature_minavg,temperature_diffavg
27,1,89.21285714,29.75548387,18.06866359,11.68682028
28,1,87.46571429,29.75548387,18.06866359,11.68682028
29,1,66.97428571,30.02691244,19.97520737,10.05170507
30,1,67.83142857,29.98428571,20.00281106,9.981474654
31,1,158.6114286,29.25894009,18.51096774,10.74797235
32,1,130.5414286,29.02539171,18.32050691,10.70488479
64,1,109.8314286,29.73198157,18.02184332,11.71013825
65,1,89.23,29.73198157,18.02184332,11.71013825
66,1,89.21285714,29.79599078,18.08170507,11.71428571
67,1,87.46571429,29.75548387,18.06866359,11.68682028
68,1,72.55714286,29.95041475,19.99451613,9.955898618
69,1,102.9657143,30.54990783,19.12373272,11.42617512
70,1,130.5414286,29.33963134,18.63271889,10.70691244
71,1,143.0414286,28.46774194,17.32073733,11.14700461
101,1,86.89571429,30.70184332,18.12423963,12.57760369
102,1,95.43857143,30.62658986,18.0637788,12.56281106
103,1,109.8314286,29.73198157,18.02184332,11.71013825
104,1,109.8314286,29.73198157,18.02184332,11.71013825
105,1,87.36142857,29.79599078,18.08170507,11.71428571
106,1,84.43285714,27.12815668,17.49221198,9.6359447
107,1,252.7514286,26.99041475,18.13036866,8.860046083
108,1,188.6628571,25.86576037,17.27940092,8.586359447
109,1,125.42,29.24571429,18.78995392,10.45576037
110,1,125.42,28.46774194,17.32073733,11.14700461
138,1,86.37714286,31.21285714,18.82870968,12.38414747
139,1,86.89571429,30.49170507,18.00940092,12.48230415
140,1,101.07,30.62658986,18.0637788,12.56281106
141,1,87.37142857,29.73198157,18.02184332,11.71013825
142,1,84.58428571,29.73198157,18.02184332,11.71013825
143,1,90.45571429,29.73198157,18.02184332,11.71013825
144,1,101.8571429,27.06741935,17.36493088,9.702488479
145,1,139.3128571,29.02474654,19.09677419,9.92797235
146,1,103.1628571,31.18852535,20.38857143,10.79995392
147,1,97.67285714,31.41898618,20.53165899,10.88732719
148,1,93.96,29.25082949,18.81359447,10.43723502
175,1,84.67285714,31.16483871,18.8175576,12.34728111
176,1,84.67285714,31.16483871,18.8175576,12.34728111
177,1,85.19142857,30.44368664,17.99824885,12.44543779
178,1,93.82285714,30.44368664,17.99824885,12.44543779
179,1,88.19142857,29.07626728,17.70774194,11.36852535
180,1,68.16,27.89341014,17.20147465,10.69193548
181,1,70.69571429,27.89341014,17.20147465,10.69193548
182,1,147.2457143,29.3278341,18.03202765,11.29580645
183,1,147.6985714,29.76691244,19.2981106,10.46880184
184,1,95.92571429,31.14705069,20.30797235,10.83907834
185,1,85.95142857,31.19889401,20.35709677,10.84179724
186,1,96.89142857,31.9756682,20.86322581,11.1124424
187,1,96.89142857,31.54806452,20.43705069,11.11101382
212,1,106.0114286,31.35211982,18.95073733,12.40138249
213,1,86.94428571,31.35211982,18.95073733,12.40138249
214,1,83.02714286,31.16483871,18.8175576,12.34728111
215,1,88.52571429,31.16483871,18.8175576,12.34728111
216,1,85.21857143,30.44368664,17.99824885,12.44543779
217,1,90.92571429,29.15778802,17.74419355,11.41359447
218,1,99.03428571,29.07626728,17.70774194,11.36852535
219,1,92.21142857,29.15889401,17.93202765,11.22686636
220,1,119.9257143,24.04013825,15.32004608,8.720092166
221,1,204.4971429,28.61603687,17.9424424,10.67359447
222,1,84.13285714,29.36682028,18.94820276,10.41861751
223,1,81.26285714,29.99958525,18.97359447,11.02599078
224,1,101.4528571,30.72976959,19.75516129,10.97460829
225,1,95.65857143,31.49041475,20.3681106,11.12230415
249,1,83,30.39672811,17.94728111,12.449447
250,1,94.46857143,30.39672811,17.94728111,12.449447
251,1,109.1685714,30.56645161,18.98290323,11.58354839
252,1,97.04714286,30.56645161,18.98290323,11.58354839
253,1,123.1457143,31.23645161,18.63059908,12.60585253
254,1,111.2014286,29.47552995,16.85709677,12.61843318
255,1,95.85857143,29.25875576,17.10658986,12.1521659
256,1,90.76714286,30.36912442,17.78543779,12.58368664
257,1,74.17714286,29.06437788,17.66617512,11.39820276
258,1,79.46,30.90193548,18.57087558,12.33105991
259,1,81.49428571,30.42894009,18.22520737,12.20373272
260,1,155.6385714,29.14626728,18.78705069,10.35921659
261,1,138.1885714,29.99958525,18.97359447,11.02599078
262,1,81.70571429,29.91543779,19.17165899,10.7437788
263,1,96.18142857,31.52677419,20.42709677,11.09967742
274,1,72.31857143,29.89364055,17.15875576,12.73488479
275,1,102.9514286,29.79156682,17.51746544,12.27410138
